#Organism/Name	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center
Campylobacter jejuni subsp. jejuni 1997-14	PRJNA52877	52877	Proteobacteria	delta/epsilon subdivisions	1.76694	30.3	-	-	-	-	AIPA01	-	1946	1912	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 51037	PRJNA52879	52879	Proteobacteria	delta/epsilon subdivisions	1.74736	30.2	-	-	-	-	AIPB01	-	1918	1882	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 87330	PRJNA52881	52881	Proteobacteria	delta/epsilon subdivisions	1.6104	30.4	-	-	-	-	AIPD01	-	1719	1682	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 87459	PRJNA52883	52883	Proteobacteria	delta/epsilon subdivisions	1.728	30.4	-	-	-	-	AIPE01	-	1910	1874	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1213	PRJNA52885	52885	Proteobacteria	delta/epsilon subdivisions	1.64806	30.5	-	-	-	-	AIPG01	-	1764	1729	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1577	PRJNA52887	52887	Proteobacteria	delta/epsilon subdivisions	1.70366	30.3	-	-	-	-	AIPH01	-	1851	1817	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1798	PRJNA52889	52889	Proteobacteria	delta/epsilon subdivisions	1.60281	30.4	-	-	-	-	AIPI01	-	1693	1659	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1854	PRJNA52891	52891	Proteobacteria	delta/epsilon subdivisions	1.62251	30.4	-	-	-	-	AIPJ01	-	1730	1694	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1893	PRJNA52893	52893	Proteobacteria	delta/epsilon subdivisions	1.62643	30.4	-	-	-	-	AIPK01	-	1724	1689	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1928	PRJNA52895	52895	Proteobacteria	delta/epsilon subdivisions	1.6374	30.5	-	-	-	-	AIPL01	-	1774	1741	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 9872	PRJNA52897	52897	Proteobacteria	delta/epsilon subdivisions	1.6204	30.4	-	-	-	-	AIPM01	-	1708	1673	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23210	PRJNA52899	52899	Proteobacteria	delta/epsilon subdivisions	1.7641	30.2	-	-	-	-	AIPN01	-	1911	1878	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23211	PRJNA52901	52901	Proteobacteria	delta/epsilon subdivisions	1.67236	30.4	-	-	-	-	AIPO01	-	1783	1748	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23216	PRJNA52903	52903	Proteobacteria	delta/epsilon subdivisions	1.47429	30.3	-	-	-	-	AIOA01	-	1598	1563	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23218	PRJNA52905	52905	Proteobacteria	delta/epsilon subdivisions	1.67893	30.4	-	-	-	-	AIOB01	-	1770	1734	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23223	PRJNA52907	52907	Proteobacteria	delta/epsilon subdivisions	1.6325	30.4	-	-	-	-	AIOC01	-	1739	1703	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23263	PRJNA52909	52909	Proteobacteria	delta/epsilon subdivisions	1.74471	30.3	-	-	-	-	AIOD01	-	1908	1874	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23264	PRJNA52911	52911	Proteobacteria	delta/epsilon subdivisions	1.72085	30.3	-	-	-	-	AIOF01	-	1871	1837	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23269	PRJNA52913	52913	Proteobacteria	delta/epsilon subdivisions	1.6284	30.5	-	-	-	-	AIOG01	-	1762	1728	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 9879	PRJNA52915	52915	Proteobacteria	delta/epsilon subdivisions	1.65081	30.5	-	-	-	-	AIOI01	-	1768	1734	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23357	PRJNA52917	52917	Proteobacteria	delta/epsilon subdivisions	1.67286	30.3	-	-	-	-	AIOK01	-	1807	1773	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni ATCC 33560	PRJNA52919	52919	Proteobacteria	delta/epsilon subdivisions	1.71246	30.2	-	-	-	-	AIOL01	-	1843	1810	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 9081	PRJNA52921	52921	Proteobacteria	delta/epsilon subdivisions	1.59384	30.4	-	-	-	-	AIOM01	-	1667	1631	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 9217	PRJNA52923	52923	Proteobacteria	delta/epsilon subdivisions	1.65345	30.4	-	-	-	-	AIOO01	-	1788	1754	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-1025	PRJNA52925	52925	Proteobacteria	delta/epsilon subdivisions	1.66104	30.4	-	-	-	-	AIOP01	-	1809	1775	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-894	PRJNA52927	52927	Proteobacteria	delta/epsilon subdivisions	1.62793	30.3	-	-	-	-	AIOQ01	-	1744	1710	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-872	PRJNA52929	52929	Proteobacteria	delta/epsilon subdivisions	1.60231	30.4	-	-	-	-	AIOR01	-	1702	1668	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-988	PRJNA52931	52931	Proteobacteria	delta/epsilon subdivisions	1.82078	30.2	-	-	-	-	AIOS01	-	2006	1970	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-979	PRJNA52933	52933	Proteobacteria	delta/epsilon subdivisions	1.79843	30.2	-	-	-	-	AIOU01	-	2014	1982	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-831	PRJNA52935	52935	Proteobacteria	delta/epsilon subdivisions	1.60941	30.5	-	-	-	-	AIOV01	-	1703	1669	2012/03/16	2012/03/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 260.94	PRJNA54369	54369	Proteobacteria	delta/epsilon subdivisions	1.65785	30.5	-	-	-	-	AANK01	10	1760	1716	2006/01/27	2010/02/03	Scaffolds or contigs	TIGR
Campylobacter jejuni subsp. jejuni CF93-6	PRJNA54373	54373	Proteobacteria	delta/epsilon subdivisions	1.6763	30.5	-	-	-	-	AANJ01	14	1803	1757	2006/01/27	2010/02/03	Scaffolds or contigs	TIGR
Campylobacter jejuni subsp. jejuni HB93-13	PRJNA54375	54375	Proteobacteria	delta/epsilon subdivisions	1.69479	30.6	-	-	-	-	AANQ01	35	1710	1710	2006/01/27	2010/02/03	Scaffolds or contigs	TIGR
Campylobacter jejuni subsp. jejuni 84-25	PRJNA54381	54381	Proteobacteria	delta/epsilon subdivisions	1.67162	30.4	-	-	-	-	AANT02	5	1794	1748	2006/02/02	2010/02/03	Scaffolds or contigs	TIGR
Campylobacter jejuni subsp. jejuni CG8486	PRJNA54417	54417	Proteobacteria	delta/epsilon subdivisions	1.59769	30.4	-	-	-	-	AASY01	19	1588	1425	2007/04/25	2010/02/03	Scaffolds or contigs	NMRC
Campylobacter jejuni subsp. jejuni 81-176	PRJNA54451	54451	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	AASL01	1	-	-	2006/07/20	2010/02/03	Complete	Section of Microbial Pathogenesis, School of Medicine, Yale University
Campylobacter jejuni subsp. jejuni CG8421	PRJNA54941	54941	Proteobacteria	delta/epsilon subdivisions	1.60894	30.4	-	-	-	-	ABGQ01	20	1590	1512	2008/09/19	2010/02/03	Scaffolds or contigs	Naval Medical Research Center
Campylobacter jejuni subsp. jejuni BH-01-0142	PRJNA54981	54981	Proteobacteria	delta/epsilon subdivisions	0.118623	27.7	-	-	-	-	ABKD01	53	123	106	2008/09/12	2010/02/03	Scaffolds or contigs	Naval Medical Research Center
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	PRJNA57587	57587	Proteobacteria	delta/epsilon subdivisions	1.64148	30.5	NC_002163.1	AL111168.1	-	-	-	1	1699	1623	2001/09/27	2012/01/20	Complete	Sanger Institute
Campylobacter jejuni RM1221	PRJNA57899	57899	Proteobacteria	delta/epsilon subdivisions	1.77783	30.3	NC_003912.7	CP000025.1	-	-	-	1	1940	1838	2002/05/16	2011/08/01	Complete	TIGR
Campylobacter jejuni subsp. jejuni 81-176	PRJNA58503	58503	Proteobacteria	delta/epsilon subdivisions	1.69905	30.4566	NC_008787.1	CP000538.1	NC_008790.1,NC_008770.1	CP000549.1,CP000550.1	-	3	1812	1758	2007/01/09	2009/05/07	Complete	TIGR
Campylobacter jejuni subsp. doylei 269.97	PRJNA58671	58671	Proteobacteria	delta/epsilon subdivisions	1.84511	30.6	NC_009707.1	CP000768.1	-	-	-	1	2037	1731	2007/07/20	2011/11/23	Complete	TIGR
Campylobacter jejuni subsp. jejuni 81116	PRJNA58771	58771	Proteobacteria	delta/epsilon subdivisions	1.62811	30.5	NC_009839.1	CP000814.1	-	-	-	1	1681	1626	2007/09/20	2010/04/27	Complete	BBSRC Institute of Food Research
Campylobacter jejuni subsp. jejuni ICDCCJ07001	PRJNA61249	61249	Proteobacteria	delta/epsilon subdivisions	1.70892	30.551	NC_014802.1	CP002029.1	NC_014801.1	CP002030.1	-	2	1671	1534	2010/12/14	2010/12/16	Complete	Dept. of  Diagnosis for Infectious Disease
Campylobacter jejuni subsp. jejuni str. RM3407	PRJNA70849	70849	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3408	PRJNA70853	70853	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3409	PRJNA70855	70855	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3411	PRJNA70857	70857	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3412	PRJNA70859	70859	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3413	PRJNA70863	70863	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3414	PRJNA70865	70865	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3415	PRJNA70867	70867	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3416	PRJNA70869	70869	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3203	PRJNA70871	70871	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM2227	PRJNA70873	70873	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3417	PRJNA70875	70875	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3418	PRJNA70877	70877	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3419	PRJNA70879	70879	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3208	PRJNA70881	70881	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3421	PRJNA70883	70883	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3423	PRJNA70885	70885	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3424	PRJNA70887	70887	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3425	PRJNA70889	70889	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM1170	PRJNA70891	70891	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3426	PRJNA70893	70893	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3428	PRJNA70895	70895	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM4271	PRJNA70897	70897	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3429	PRJNA70899	70899	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM1503	PRJNA70901	70901	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3431	PRJNA70903	70903	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3432	PRJNA70905	70905	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM4274	PRJNA70907	70907	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3433	PRJNA70909	70909	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3434	PRJNA70911	70911	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3436	PRJNA70913	70913	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3437	PRJNA70915	70915	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3438	PRJNA70917	70917	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3439	PRJNA70919	70919	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. doylei str. RM3440	PRJNA70921	70921	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3441	PRJNA70923	70923	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3442	PRJNA70925	70925	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3435	PRJNA70927	70927	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni NW	PRJNA73823	73823	Proteobacteria	delta/epsilon subdivisions	1.65269	30.3	-	-	-	-	AGTE01	59	1732	1690	2011/11/04	2011/11/08	Scaffolds or contigs	Comparative Enteric Diseases Laboratory, Michigan State University
Campylobacter jejuni subsp. jejuni D2600	PRJNA73887	73887	Proteobacteria	delta/epsilon subdivisions	1.62233	30.5	-	-	-	-	AGTF01	51	1661	1619	2011/11/04	2011/11/08	Scaffolds or contigs	Comparative Enteric Diseases Laboratory, Michigan State University
Campylobacter jejuni subsp. jejuni xy259	PRJEA76201	76201	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	Hannover Medical School, Institute for Microbiology
Campylobacter jejuni subsp. jejuni RB922	PRJEA76203	76203	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	Hannover Medical School, Institute for Microbiology
Campylobacter jejuni subsp. jejuni 6399	PRJEA76205	76205	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	Hannover Medical School, Institute for Microbiology
Campylobacter jejuni subsp. jejuni 04197	PRJEA76207	76207	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	Hannover Medical School, Institute for Microbiology
Campylobacter jejuni subsp. jejuni 04199	PRJEA76209	76209	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	Hannover Medical School, Institute for Microbiology
Campylobacter jejuni subsp. jejuni ATCC 33560	PRJNA84201	84201	Proteobacteria	delta/epsilon subdivisions	1.73219	30.1	-	-	-	-	AIJN01	-	-	-	2012/03/07	2012/03/07	Scaffolds or contigs	University of Tennessee
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	PRJNA85567	85567	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	Mansfield Lab, Michigan State University
Campylobacter jejuni subsp. jejuni IA3902	PRJNA159531	159531	Proteobacteria	delta/epsilon subdivisions	1.67222	30.4955	NC_017279.1	CP001876.1	NC_017284.1	CP001877.1	-	2	1740	1666	2010/01/29	2012/04/17	Complete	Iowa State University
Campylobacter jejuni subsp. jejuni S3	PRJNA159533	159533	Proteobacteria	delta/epsilon subdivisions	1.72458	30.4624	NC_017281.1	CP001960.1	NC_017282.1	CP001961.1	-	-	1866	1783	2010/12/14	2012/06/14	Complete	The University of Arizona, Department of Veterinary Science & Microbiology
Campylobacter jejuni subsp. jejuni M1	PRJNA159535	159535	Proteobacteria	delta/epsilon subdivisions	1.61665	30.6	NC_017280.1	CP001900.1	-	-	-	1	1675	1622	2010/09/28	2012/04/17	Complete	Danish Technical University
Campylobacter jejuni subsp. jejuni NCTC 11168-PO	PRJNA159829	159829	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	The University of Arizona
Campylobacter jejuni subsp. jejuni P854	PRJNA162733	162733	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	University of Birmingham
Campylobacter jejuni subsp. jejuni PT14	PRJNA168989	168989	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	University of Nottingham
Pseudomonas fluorescens BBc6R8	PRJNA20583	20583	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Institut National de la Recherche Agronomique
Pseudomonas fluorescens NZ011	PRJNA32035	32035	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	The Sainsbury Laboratory
Pseudomonas fluorescens NZ052	PRJNA32037	32037	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	The Sainsbury Laboratory
Pseudomonas fluorescens NZI7	PRJNA32039	32039	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	The Sainsbury Laboratory
Pseudomonas fluorescens NZ007	PRJNA41635	41635	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	The Sainsbury Laboratory
Pseudomonas fluorescens KY485	PRJNA46287	46287	Proteobacteria	Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	No data	Northern Kentucky University
